KEYWORD,LINK,NAME,ADDRESS,PHONE NUMBER,WEBSITE,RATING,NO OF RATINGS,LINK TO PHOTO
New York NY,https://www.google.com/maps/place/Health+Coach/data=!4m7!3m6!1s0x89c25c0147550441:0x239d70b619b90209!8m2!3d40.7041376!4d-73.9315388!16s%2Fg%2F11qng4_wn2!19sChIJQQRVRwFcwokRCQK5GbZwnSM?authuser=0&hl=en&rclk=1,Health Coach,"21/17, Level 4 Steel Rock Street, Brooklyn, NY 11237, United States",1 800-425-8910,certifiednon-ge.com, , ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G80-azMX7e30eqAIl8-dhA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=230.29274&pitch=0&thumbfov=100
New York NY,"https://www.google.com/maps/place/Mercedes+Vargas,+Chef+and+Integrative+Health+Coach/data=!4m7!3m6!1s0x89c259e361f4b50b:0xba547ee992162909!8m2!3d40.818909!4d-73.057522!16s%2Fg%2F11mpcld81b!19sChIJC7X0YeNZwokRCSkWkul-VLo?authuser=0&hl=en&rclk=1","Mercedes Vargas, Chef and Integrative Health Coach", , ,eatingempoweredwithmercedes.com, , ,https://lh3.googleusercontent.com/p/AF1QipMqslIpwbCIwkSWMCjXMgE1UMcF_JFUOuA27pi8=w408-h542-k-no
New York NY,https://www.google.com/maps/place/Organic+Yogi+%7C+Heather+M.+Health+Coach/data=!4m7!3m6!1s0x3b3eb3ee968adb7:0x5896fa540ee80b33!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11ks117qmn!19sChIJt61o6T7rswMRMwvoDlT6llg?authuser=0&hl=en&rclk=1,Organic Yogi | Heather M. Health Coach, ,1 347-755-7541,organicyogi.net,5,5,https://lh3.googleusercontent.com/p/AF1QipPgyGiZq2lfncXJv3_edOHWH0e1Fak4vXfK6ZVo=w408-h408-k-no
New York NY,https://www.google.com/maps/place/Marissa%27s+Well-being+and+Health/data=!4m7!3m6!1s0x89c2599fe51584a7:0xfa424726db7578ec!8m2!3d40.7347337!4d-73.9834508!16s%2Fg%2F11f_f4kjpv!19sChIJp4QV5Z9ZwokR7Hh12yZHQvo?authuser=0&hl=en&rclk=1,Marissa's Well-being and Health,"305 2nd Ave, New York, NY 10003, United States",1 917-439-5182, , , ,https://lh3.googleusercontent.com/p/AF1QipOCD2Gq1eN-wRp_sBTQ6L6iY-mpZ1C0QXYYFeC5=w408-h612-k-no
New York NY,https://www.google.com/maps/place/Acheloa+Wellness/data=!4m7!3m6!1s0x89c259f67264ba93:0x436fe63574ab2eb!8m2!3d40.7255748!4d-73.982779!16s%2Fg%2F11frc2jcs_!19sChIJk7pkcvZZwokR67JKV2P-NgQ?authuser=0&hl=en&rclk=1,Acheloa Wellness,"144 E 7th St, New York, NY 10009, United States",1 917-426-4936,acheloawellness.com,5,10,https://lh3.googleusercontent.com/p/AF1QipPrKAwHGkfOi36JjfXa98VrVDptsvtCaeWtVELn=w408-h272-k-no
New York NY,https://www.google.com/maps/place/Tina+Malonis+Health+%26+Lifestyle+Coaching/data=!4m7!3m6!1s0x89c258bbd5b2769d:0x8c802a41c6eaaa27!8m2!3d40.7753716!4d-73.9509079!16s%2Fg%2F11cs5xysw6!19sChIJnXay1btYwokRJ6rqxkEqgIw?authuser=0&hl=en&rclk=1,Tina Malonis Health & Lifestyle Coaching,"353 E 83rd St #3f, New York, NY 10028, United States",1 917-887-4238,tinamalonis.com, , ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xjo2XRQwYPBGIzJdLZLCZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=30.211761&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/Birchwell+Functional+Medicine+-+Integrative+Health+%26+Holistic+Nutrition/data=!4m7!3m6!1s0x695ecbcf11e484b9:0xdc0f41e590f0cd13!8m2!3d40.751848!4d-73.98245!16s%2Fg%2F11nxs_yzkl!19sChIJuYTkEc_LXmkRE83wkOVBD9w?authuser=0&hl=en&rclk=1,Birchwell Functional Medicine - Integrative Health & Holistic Nutrition,"442 5th Ave #1276, New York, NY 10018, United States",1 203-293-5483,birchwell.clinic,5,51,https://lh3.googleusercontent.com/p/AF1QipMLLWGUh5hPX4fOdnhEjgxbewyjlWD2LWIXRFd3=w408-h611-k-no
New York NY,https://www.google.com/maps/place/Erika+Lynn+Coaching/data=!4m7!3m6!1s0x8c734e25ac53d443:0x6aba6c4286d13bc0!8m2!3d40.7242057!4d-73.983263!16s%2Fg%2F11nnvgr976!19sChIJQ9RTrCVOc4wRwDvRhkJsumo?authuser=0&hl=en&rclk=1,Erika Lynn Coaching,"526 E 5th St, New York, NY 10009, United States",1 206-351-3463,erika-lynn.com,5,16,https://lh3.googleusercontent.com/p/AF1QipNEiEIsbpSXR0nA1BCriIUYNzHO6ZUdTFwIYCk=w426-h240-k-no
New York NY,https://www.google.com/maps/place/Gotham+Life+Coach/data=!4m7!3m6!1s0x89c259cf95b823d1:0x40b36eecfefad90d!8m2!3d40.7625749!4d-73.9777552!16s%2Fg%2F11gtcy3_l_!19sChIJ0SO4lc9ZwokRDdn6_uxus0A?authuser=0&hl=en&rclk=1,Gotham Life Coach,"1350 6th Ave Suite 225, New York, NY 10019, United States",1 646-340-3303,gothamlifecoach.com,5,3,https://lh3.googleusercontent.com/p/AF1QipP5nf97ywxz_zXasy12JafAdXC0wI1TeuTuF7zx=w624-h240-k-no
New York NY,https://www.google.com/maps/place/Soul+Stryde+-+Life+Coach+New+York/data=!4m7!3m6!1s0x88dd7dc477bbb429:0xd570a2096fb218ff!8m2!3d40.7141103!4d-74.009061!16s%2Fg%2F11srh61j8z!19sChIJKbS7d8R93YgR_xiybwmicNU?authuser=0&hl=en&rclk=1,Soul Stryde - Life Coach New York,"41 Murray St, New York, NY 10007, United States",1 551-305-3489,soulstrydelifecoaching.com,5,3,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FoBUUJhKBOJAarNqgj96rQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=40.989708&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/Create+Health+Coaching/data=!4m7!3m6!1s0x89c24523a52e81ad:0x2adfc33f957256b7!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11jlx37r9s!19sChIJrYEupSNFwokRt1ZylT_D3yo?authuser=0&hl=en&rclk=1,Create Health Coaching, ,1 347-991-2401,facebook.com,5,4,https://lh3.googleusercontent.com/p/AF1QipPwCzJPeHlu-Cxk0AE9r72ZieTaT4uTNWcvnXE=w408-h306-k-no
New York NY,"https://www.google.com/maps/place/Melanie+Monaco,+Integrative+Nutrition+Health+Coach+%26+Yoga+Instructor/data=!4m7!3m6!1s0x89c25bae4167fe27:0x5db811503fb2ae64!8m2!3d40.6619983!4d-73.9611025!16s%2Fg%2F11gslr0_sw!19sChIJJ_5nQa5bwokRZK6yP1ARuF0?authuser=0&hl=en&rclk=1","Melanie Monaco, Integrative Nutrition Health Coach & Yoga Instructor","1120 Washington Ave 3rd floor, Brooklyn, NY 11225, United States", ,melaniemonaco.com,5,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F6ibhirR8kI2PFgUI7DfQg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=255.60548&pitch=0&thumbfov=100
New York NY,"https://www.google.com/maps/place/Elanna+Edwards,+Certified+Health+Coach/data=!4m7!3m6!1s0x89c25956def52ae9:0x6b1548b70f4c4a49!8m2!3d40.6971415!4d-73.979506!16s%2Fg%2F11c7p2q8mh!19sChIJ6Sr13lZZwokRSUpMD7dIFWs?authuser=0&hl=en&rclk=1","Elanna Edwards, Certified Health Coach", ,1 703-915-3273, , , , 
New York NY,https://www.google.com/maps/place/Mallory+Herb+Health+Coaching/data=!4m7!3m6!1s0x89c25b2d517421cf:0x4cb540a143e21362!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11h7p5v3y0!19sChIJzyF0US1bwokRYhPiQ6FAtUw?authuser=0&hl=en&rclk=1,Mallory Herb Health Coaching, , ,herbodyhealth.com, , ,https://lh3.googleusercontent.com/p/AF1QipM5yrIHX7eoF1NJLjB4W-jhP4Y1RW8gCcVCM0t5=w408-h544-k-no
New York NY,https://www.google.com/maps/place/%231+Best+Life+Coach+and+Career+Coach.+Get+Unstuck+%26+Move+Forward+with+Confidence!/data=!4m7!3m6!1s0x89c25966bee3d6bf:0x61478aa4000637ba!8m2!3d40.7185491!4d-73.9645909!16s%2Fg%2F11bw5tz5rh!19sChIJv9bjvmZZwokRujcGAKSKR2E?authuser=0&hl=en&rclk=1,#1 Best Life Coach and Career Coach. Get Unstuck & Move Forward with Confidence!,"184 Kent Ave C407, Brooklyn, NY 11249, United States",1 201-777-0208,annagoldstein.com,5,19,https://lh3.googleusercontent.com/p/AF1QipPIJ__dBS9dSie5fCqTzY6YEmoB7Mo9uuamcg2R=w408-h408-k-no
New York NY,https://www.google.com/maps/place/Career+Coach+%2F+Professional+Coach+%2F+Coaching+for+Parents+%2F+Career+Management/data=!4m7!3m6!1s0x89c259498bd94367:0x93134f8256d32e20!8m2!3d40.7419383!4d-73.9803309!16s%2Fg%2F11j248tz4h!19sChIJZ0PZi0lZwokRIC7TVoJPE5M?authuser=0&hl=en&rclk=1,Career Coach / Professional Coach / Coaching for Parents / Career Management,"201 E 28th St, New York, NY 10016, United States",1 917-715-5410,sarahbogdanski.com,5,6,https://lh3.googleusercontent.com/p/AF1QipPStdf0haTRh2Tb4hu6ikFNzR8-du_yAYL6xE4R=w408-h306-k-no
New York NY,https://www.google.com/maps/place/Medina+Wellness/data=!4m7!3m6!1s0x89c2596ebddf581d:0xcc80b4a3472f9106!8m2!3d40.750873!4d-73.983967!16s%2Fg%2F11gwmcq9fj!19sChIJHVjfvW5ZwokRBpEvR6O0gMw?authuser=0&hl=en&rclk=1,Medina Wellness,"5 W 37th St Suite 715, New York, NY 10018, United States",1 917-243-4947,medinawellness.com,5,6,https://lh3.googleusercontent.com/p/AF1QipPgUSolE4iPZ3bQ1EcrZFiDoYKVQNuM_X-BXmJB=w408-h342-k-no
New York NY,https://www.google.com/maps/place/Tessa+Wells+Health+Coaching/data=!4m7!3m6!1s0x89c265c1a43c4729:0x8c611f31dc913ce9!8m2!3d40.6526865!4d-73.552095!16s%2Fg%2F11jh6nz9wn!19sChIJKUc8pMFlwokR6TyR3DEfYYw?authuser=0&hl=en&rclk=1,Tessa Wells Health Coaching, ,1 516-962-3120,tessawellshealthcoaching.com,5,1,https://lh3.googleusercontent.com/p/AF1QipP4_h6k5DymF4gbjZPmqksAPOkZpT3XD4aNSzRJ=w408-h283-k-no
New York NY,https://www.google.com/maps/place/New+York+City+Life+Coach+Directory/data=!4m7!3m6!1s0x89c25a181565da7d:0x8c2fb62e698dc01a!8m2!3d40.7098853!4d-74.0073457!16s%2Fg%2F1tgb888j!19sChIJfdplFRhawokRGsCNaS62L4w?authuser=0&hl=en&rclk=1,New York City Life Coach Directory,"116 Fulton St, New York, NY 10038, United States",1 646-543-9532, , , ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vltmQTi6YKNndjTfFGGPBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=204.67575&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/Health+Coach+Bae/data=!4m7!3m6!1s0x41490c672f3b5a9b:0xf114612850a44220!8m2!3d40.6971415!4d-73.979506!16s%2Fg%2F11smvq0h4t!19sChIJm1o7L2cMSUERIEKkUChhFPE?authuser=0&hl=en&rclk=1,Health Coach Bae, ,1 929-319-5300, , , ,https://lh3.googleusercontent.com/p/AF1QipMhkMhfQdJWW87WS_l6LM1nMr0C58T4HYGY_oq2=w408-h272-k-no
New York NY,https://www.google.com/maps/place/DeFord+Health+Coaching/data=!4m7!3m6!1s0x89c2f7d6d89deb69:0x5c98c923e1d59165!8m2!3d40.792888!4d-73.9646827!16s%2Fg%2F11q39qf10r!19sChIJaeud2Nb3wokRZZHV4SPJmFw?authuser=0&hl=en&rclk=1,DeFord Health Coaching,"372 Central Park W, New York, NY 10025, United States",1 646-924-8338,defordhealthcoaching.com, , ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tuCy4JUr_iG5Pb2iqEwG8w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=22.81361&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/Infinite+Wellness+Coaching+-+Holistic+Eating+Disorder+Coach/data=!4m7!3m6!1s0x89c259edaff3d36f:0x8f732a94ac109802!8m2!3d40.7309498!4d-74.010056!16s%2Fg%2F1tjdmnrp!19sChIJb9Pzr-1ZwokRApgQrJQqc48?authuser=0&hl=en&rclk=1,Infinite Wellness Coaching - Holistic Eating Disorder Coach,"1 Morton St, New York, NY 10014, United States",1 917-535-9519,infinitewellnesscoaching.com, , ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m1bQfllHClgDFqfMAyNeMA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.66907&pitch=0&thumbfov=100
